state,state_name,page_type,tier,name,population,latitude,longitude,url_slug,include_reason
AK,Alaska,city,Core,Anchorage,289600,61.21806,-149.90028,/{segment}/ak/anchorage/,pop>=50k;top10-in-state
AK,Alaska,city,Extended,Fairbanks,32325,64.83778,-147.71639,/{segment}/ak/fairbanks/,top10-in-state
AK,Alaska,city,Extended,Juneau,31555,58.30194,-134.41972,/{segment}/ak/juneau/,top10-in-state
AK,Alaska,city,Extended,Eagle River,24793,61.32139,-149.56778,/{segment}/ak/eagle-river/,top10-in-state
AK,Alaska,city,Extended,Badger,19482,64.8,-147.53333,/{segment}/ak/badger/,top10-in-state
AL,Alabama,city,Core,Huntsville,215006,34.7304,-86.58594,/{segment}/al/huntsville/,pop>=50k;top10-in-state
AL,Alabama,city,Core,Birmingham,196357,33.52066,-86.80249,/{segment}/al/birmingham/,pop>=50k;top10-in-state
AL,Alabama,city,Core,Montgomery,195287,32.36681,-86.29997,/{segment}/al/montgomery/,pop>=50k;top10-in-state
AL,Alabama,city,Core,Mobile,183289,30.69436,-88.04305,/{segment}/al/mobile/,pop>=50k;top10-in-state
AL,Alabama,city,Core,Tuscaloosa,111338,33.20984,-87.56917,/{segment}/al/tuscaloosa/,pop>=50k;top10-in-state
AL,Alabama,city,Core,Hoover,84848,33.40539,-86.81138,/{segment}/al/hoover/,pop>=50k;top10-in-state
AL,Alabama,city,Core,Dothan,68567,31.22323,-85.39049,/{segment}/al/dothan/,pop>=50k;top10-in-state
AL,Alabama,city,Core,Auburn,62059,32.60986,-85.48078,/{segment}/al/auburn/,pop>=50k;top10-in-state
AL,Alabama,city,Core,Decatur,55437,34.60593,-86.98334,/{segment}/al/decatur/,pop>=50k;top10-in-state
AL,Alabama,city,Extended,Madison,46962,34.69926,-86.74833,/{segment}/al/madison/,top10-in-state
AL,Alabama,city,Extended,Florence,40026,34.79981,-87.67725,/{segment}/al/florence/,tier1-corridor-state
AL,Alabama,city,Extended,Phenix City,37570,32.47098,-85.00077,/{segment}/al/phenix-city/,tier1-corridor-state
AL,Alabama,city,Extended,Gadsden,36084,34.01434,-86.00639,/{segment}/al/gadsden/,tier1-corridor-state
AL,Alabama,city,Extended,East Florence,35733,34.80953,-87.64947,/{segment}/al/east-florence/,tier1-corridor-state
AL,Alabama,city,Extended,Prattville,35420,32.46402,-86.4597,/{segment}/al/prattville/,tier1-corridor-state
AL,Alabama,city,Extended,Vestavia Hills,34174,33.44872,-86.78777,/{segment}/al/vestavia-hills/,tier1-corridor-state
AL,Alabama,city,Extended,Alabaster,32707,33.24428,-86.81638,/{segment}/al/alabaster/,tier1-corridor-state
AL,Alabama,city,Extended,Opelika,29527,32.64541,-85.37828,/{segment}/al/opelika/,tier1-corridor-state
AL,Alabama,city,Extended,Enterprise,27978,31.31517,-85.85522,/{segment}/al/enterprise/,tier1-corridor-state
AL,Alabama,city,Extended,Bessemer,26730,33.40178,-86.95444,/{segment}/al/bessemer/,tier1-corridor-state
AL,Alabama,city,Extended,Homewood,25708,33.47177,-86.80082,/{segment}/al/homewood/,tier1-corridor-state
AL,Alabama,city,Extended,Athens,24966,34.80243,-86.97219,/{segment}/al/athens/,tier1-corridor-state
AL,Alabama,city,Extended,Daphne,24896,30.60353,-87.9036,/{segment}/al/daphne/,tier1-corridor-state
AL,Alabama,city,Extended,Northport,24772,33.22901,-87.57723,/{segment}/al/northport/,tier1-corridor-state
AL,Alabama,corridor,Core,I-10 (Alabama),,,,/{segment}/corridors/i-10/al/,tier1-freight-corridor; full-exit-coverage
