state,url,mechanics_count,phone_number
Texas,https://www.repair.bigrig.app/texas,300,+1 (346) 277-9110
Florida,https://www.repair.bigrig.app/florida,300,+1 (754) 465-0608
California,https://www.repair.bigrig.app/california,300,+1 (661) 451-6196
Arizona,https://www.repair.bigrig.app/arizona,150,+1 (623) 263-1412
Maryland,https://www.repair.bigrig.app/maryland,100,+1 (667) 261-8608
Ohio,https://www.repair.bigrig.app/ohio,250,+1 (440) 644-2524
Colorado,https://www.repair.bigrig.app/colorado,150,+1 (720) 408-5012
Tennessee,https://www.repair.bigrig.app/tennessee,200,+1 (901) 350-5073
Pennsylvania,https://www.repair.bigrig.app/pennsylvania,200,+1 (484) 494-2857
Missouri,https://www.repair.bigrig.app/missouri,150,+1 (913) 386-6892
Virginia,https://www.repair.bigrig.app/virginia,150,+1 (804) 463-5208
Michigan,https://www.repair.bigrig.app/michigan,150,+1 (989) 368-3657
South Dakota,https://www.repair.bigrig.app/south-dakota,100,+1 (712) 888-1765
Kentucky,https://www.repair.bigrig.app/kentucky,150,+1 (930) 300-1294
Indiana,https://www.repair.bigrig.app/indiana,150,+1 (463) 222-0335
Washington,https://www.repair.bigrig.app/washington,100,+1 (253) 319-3103
New York,https://www.repair.bigrig.app/new-york,150,+1 (914) 530-0962
Illinois,https://www.repair.bigrig.app/illinois,150,+1 (708) 905-2572
Massachusetts,https://www.repair.bigrig.app/massachusetts,100,+1 (339) 209-3462
Georgia,https://www.repair.bigrig.app/georgia,150,+1 (470) 491-0891
Oregon,https://www.repair.bigrig.app/oregon,100,+1 (360) 342-9537
Minnesota,https://www.repair.bigrig.app/minnesota,100,+1 (651) 383-1574
North Carolina,https://www.repair.bigrig.app/north-carolina,150,+1 (980) 217-1981
Mississippi,https://www.repair.bigrig.app/mississippi,150,+1 (769) 246-8472
Alabama,https://www.repair.bigrig.app/alabama,150,+1 (659) 222-8303
Arkansas,https://www.repair.bigrig.app/arkansas,150,+1 (501) 596-4749
Wisconsin,https://www.repair.bigrig.app/wisconsin,150,+1 (262) 665-5633
South Carolina,https://www.repair.bigrig.app/southcarolina,150,+1 (803) 721-9183
New Mexico,https://www.repair.bigrig.app/newmexico,150,+1 (505) 337-4893
Louisiana,https://www.repair.bigrig.app/louisiana,150,+1 (225) 240-1786
Oklahoma,https://www.repair.bigrig.app/oklahoma,150,+1 (580) 403-5117
